lx,ly,lz,alpha,beta,gamma,freeE,MaxComp,phase,ksi,tau,cal_type,bridge
1.0,2.351041,2.251041,0.0,0.0,0.0,11.71433348,9.280465454e-10,C4,0.46,0.13,cpu,0
1.0,2.351041,2.351041,0.0,0.0,0.0,11.7248159,5.254529765e-10,C4,0.46,0.13,cpu,0
1.0,1.451041,1.451041,0.0,0.0,0.0,11.94353289,3.173600335e-09,C4,0.46,0.13,cpu,0
1.0,1.551041,1.451041,0.0,0.0,0.0,11.90152021,8.325177952e-10,C4,0.46,0.13,cpu,0
1.0,1.651041,1.451041,0.0,0.0,0.0,11.86242247,1.221528257e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,1.451041,0.0,0.0,0.0,11.82672069,8.83539706e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.451041,0.0,0.0,0.0,11.79486115,1.132963932e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.451041,0.0,0.0,0.0,11.7673057,1.1569452e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.451041,0.0,0.0,0.0,11.74448403,1.317689436e-09,C4,0.46,0.13,cpu,0
1.0,2.151041,1.451041,0.0,0.0,0.0,11.72672876,7.742639977e-10,C4,0.46,0.13,cpu,0
1.0,2.251041,1.451041,0.0,0.0,0.0,11.71422722,7.496191306e-10,C4,0.46,0.13,cpu,0
1.0,2.351041,1.451041,0.0,0.0,0.0,11.70699817,9.684659594e-10,C4,0.46,0.13,cpu,0
1.0,2.451041,1.451041,0.0,0.0,0.0,11.70488936,9.272922233e-10,C4,0.46,0.13,cpu,0
1.0,2.551041,1.451041,0.0,0.0,0.0,11.70758832,1.301768531e-09,C4,0.46,0.13,cpu,0
1.0,2.651041,1.451041,0.0,0.0,0.0,11.71463971,6.015063719e-10,C4,0.46,0.13,cpu,0
1.0,1.451041,1.551041,0.0,0.0,0.0,11.90152021,8.898087458e-10,C4,0.46,0.13,cpu,0
1.0,1.551041,1.551041,0.0,0.0,0.0,11.86228494,1.163844805e-09,C4,0.46,0.13,cpu,0
1.0,1.651041,1.551041,0.0,0.0,0.0,11.82675178,7.833318901e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.551041,0.0,0.0,0.0,11.79497609,5.934870065e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.551041,0.0,0.0,0.0,11.76711613,9.443641901e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.551041,0.0,0.0,0.0,11.743442,8.482927925e-10,C4,0.46,0.13,cpu,0
1.0,2.051041,1.551041,0.0,0.0,0.0,11.72426282,1.640896916e-09,C4,0.46,0.13,cpu,0
1.0,2.151041,1.551041,0.0,0.0,0.0,11.70984148,8.416064139e-10,C4,0.46,0.13,cpu,0
1.0,2.251041,1.551041,0.0,0.0,0.0,11.70032912,1.005332328e-09,C4,0.46,0.13,cpu,0
1.0,2.351041,1.551041,0.0,0.0,0.0,11.69572829,7.341292772e-10,C4,0.46,0.13,cpu,0
1.0,2.451041,1.551041,0.0,0.0,0.0,11.69588095,1.608362346e-09,C4,0.46,0.13,cpu,0
1.0,2.551041,1.551041,0.0,0.0,0.0,11.70047337,1.408940099e-09,C4,0.46,0.13,cpu,0
1.0,2.651041,1.551041,0.0,0.0,0.0,11.70905065,1.705981763e-09,C4,0.46,0.13,cpu,0
1.0,1.451041,1.651041,0.0,0.0,0.0,11.86242247,1.363175937e-09,C4,0.46,0.13,cpu,0
1.0,1.551041,1.651041,0.0,0.0,0.0,11.82675178,7.926494151e-10,C4,0.46,0.13,cpu,0
1.0,1.651041,1.651041,0.0,0.0,0.0,11.79533346,1.059387187e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,1.651041,0.0,0.0,0.0,11.76788791,1.625895937e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,1.651041,0.0,0.0,0.0,11.74433278,1.532952208e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.651041,0.0,0.0,0.0,11.72477235,9.054924327e-10,C4,0.46,0.13,cpu,0
1.0,2.051041,1.651041,0.0,0.0,0.0,11.70940976,5.794721567e-10,C4,0.46,0.13,cpu,0
1.0,2.151041,1.651041,0.0,0.0,0.0,11.69844677,7.970246406e-10,C4,0.46,0.13,cpu,0
1.0,2.251041,1.651041,0.0,0.0,0.0,11.6920037,8.962884058e-10,C4,0.46,0.13,cpu,0
1.0,2.351041,1.651041,0.0,0.0,0.0,11.69007025,1.495830684e-09,C4,0.46,0.13,cpu,0
1.0,2.451041,1.651041,0.0,0.0,0.0,11.69248444,1.855007458e-09,C4,0.46,0.13,cpu,0
1.0,2.551041,1.651041,0.0,0.0,0.0,11.69893189,1.564399684e-09,C4,0.46,0.13,cpu,0
1.0,2.651041,1.651041,0.0,0.0,0.0,11.70895777,1.180418244e-09,C4,0.46,0.13,cpu,0
1.0,1.451041,1.751041,0.0,0.0,0.0,11.82672069,1.213221368e-09,C4,0.46,0.13,cpu,0
1.0,1.551041,1.751041,0.0,0.0,0.0,11.79497609,1.416916879e-09,C4,0.46,0.13,cpu,0
1.0,1.651041,1.751041,0.0,0.0,0.0,11.76788791,1.789665126e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,1.751041,0.0,0.0,0.0,11.74489901,5.757107478e-10,C4,0.46,0.13,cpu,0
1.0,1.776041,1.751041,0.0,0.0,0.0,11.73975213,8.470901659e-10,C4,0.46,0.13,cpu,0
1.0,1.801041,1.751041,0.0,0.0,0.0,11.73484013,9.321948564e-10,C4,0.46,0.13,cpu,0
1.0,1.826041,1.751041,0.0,0.0,0.0,11.73016209,7.277260117e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.751041,0.0,0.0,0.0,11.7257179,8.559347132e-10,C4,0.46,0.13,cpu,0
1.0,1.876041,1.751041,0.0,0.0,0.0,11.72150816,1.095193025e-09,C4,0.46,0.13,cpu,0
1.0,1.901041,1.751041,0.0,0.0,0.0,11.71753407,1.215855389e-09,C4,0.46,0.13,cpu,0
1.0,1.926041,1.751041,0.0,0.0,0.0,11.71379729,7.421149864e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.751041,0.0,0.0,0.0,11.71029985,2.048181992e-09,C4,0.46,0.13,cpu,0
1.0,1.976041,1.751041,0.0,0.0,0.0,11.70704403,1.541319689e-09,C4,0.46,0.13,cpu,0
1.0,2.001041,1.751041,0.0,0.0,0.0,11.70403226,1.015465711e-09,C4,0.46,0.13,cpu,0
1.0,2.026041,1.751041,0.0,0.0,0.0,11.70126699,1.606182757e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.751041,0.0,0.0,0.0,11.6987506,1.207453905e-09,C4,0.46,0.13,cpu,0
1.0,2.076041,1.751041,0.0,0.0,0.0,11.69648534,1.298554936e-09,C4,0.46,0.13,cpu,0
1.0,2.101041,1.751041,0.0,0.0,0.0,11.69447323,1.98982143e-09,C4,0.46,0.13,cpu,0
1.0,2.126041,1.751041,0.0,0.0,0.0,11.69271597,1.32103711e-09,C4,0.46,0.13,cpu,0
1.0,2.151041,1.751041,0.0,0.0,0.0,11.69121492,1.709889545e-09,C4,0.46,0.13,cpu,0
1.0,2.176041,1.751041,0.0,0.0,0.0,11.68997099,9.679679845e-10,C4,0.46,0.13,cpu,0
1.0,2.201041,1.751041,0.0,0.0,0.0,11.68898467,1.511347512e-09,C4,0.46,0.13,cpu,0
1.0,2.226041,1.751041,0.0,0.0,0.0,11.68825591,9.632715038e-10,C4,0.46,0.13,cpu,0
1.0,2.251041,1.751041,0.0,0.0,0.0,11.68778414,1.389863875e-09,C4,0.46,0.13,cpu,0
1.0,2.276041,1.751041,0.0,0.0,0.0,11.68756824,1.03371256e-09,C4,0.46,0.13,cpu,0
1.0,2.301041,1.751041,0.0,0.0,0.0,11.6876065,9.61083474e-10,C4,0.46,0.13,cpu,0
1.0,2.326041,1.751041,0.0,0.0,0.0,11.68789664,1.341253315e-09,C4,0.46,0.13,cpu,0
1.0,2.351041,1.751041,0.0,0.0,0.0,11.68843577,1.252659249e-09,C4,0.46,0.13,cpu,0
1.0,2.451041,1.751041,0.0,0.0,0.0,11.69300392,1.402364177e-09,C4,0.46,0.13,cpu,0
1.0,2.551041,1.751041,0.0,0.0,0.0,11.70117335,7.577557288e-10,C4,0.46,0.13,cpu,0
1.0,2.651041,1.751041,0.0,0.0,0.0,11.71248919,1.041977433e-09,C4,0.46,0.13,cpu,0
