1 192 192
7.132232645e-02 9.286776701e-01 1.199686653e+02 3.423313069e+01 
6.426989925e-02 9.357300970e-01 1.211324925e+02 3.398647239e+01 
5.881620536e-02 9.411837906e-01 1.220381573e+02 3.380139841e+01 
5.461490522e-02 9.453850904e-01 1.227458952e+02 3.366887633e+01 
5.139905456e-02 9.486009408e-01 1.232989757e+02 3.357878671e+01 
4.896409172e-02 9.510359035e-01 1.237282575e+02 3.352107590e+01 
4.715480133e-02 9.528451937e-01 1.240556561e+02 3.348661637e+01 
4.585552073e-02 9.541444742e-01 1.242966278e+02 3.346773202e+01 
4.498292875e-02 9.550170661e-01 1.244618591e+02 3.345844490e+01 
4.448090384e-02 9.555190909e-01 1.245583542e+02 3.345453505e+01 
4.431708596e-02 9.556829087e-01 1.245900893e+02 3.345350653e+01 
4.448090292e-02 9.555190917e-01 1.245583544e+02 3.345453504e+01 
4.498292685e-02 9.550170678e-01 1.244618595e+02 3.345844489e+01 
4.585551774e-02 9.541444770e-01 1.242966284e+02 3.346773198e+01 
4.715479704e-02 9.528451978e-01 1.240556568e+02 3.348661629e+01 
4.896408586e-02 9.510359091e-01 1.237282585e+02 3.352107577e+01 
5.139904676e-02 9.486009483e-01 1.232989771e+02 3.357878650e+01 
5.461489498e-02 9.453851003e-01 1.227458970e+02 3.366887602e+01 
5.881619203e-02 9.411838035e-01 1.220381595e+02 3.380139797e+01 
6.426988198e-02 9.357301138e-01 1.211324953e+02 3.398647179e+01 
7.132230415e-02 9.286776920e-01 1.199686690e+02 3.423312990e+01 
8.042072930e-02 9.195792672e-01 1.184639783e+02 3.454812424e+01 
9.213911795e-02 9.078608792e-01 1.165075215e+02 3.493534517e+01 
1.072055261e-01 8.927944717e-01 1.139561053e+02 3.539721058e+01 
1.265236579e-01 8.734763405e-01 1.106357409e+02 3.594047250e+01 
1.511720284e-01 8.488279706e-01 1.063557343e+02 3.659014001e+01 
1.823506692e-01 8.176493306e-01 1.009452729e+02 3.741540681e+01 
2.212315440e-01 7.787684567e-01 9.432107573e+01 3.856738456e+01 
2.686696730e-01 7.313303279e-01 8.658144472e+01 4.031537939e+01 
3.247755622e-01 6.752244383e-01 7.809135109e+01 4.304646367e+01 
3.884593254e-01 6.115406745e-01 6.948816182e+01 4.718002713e+01 
4.571961275e-01 5.428038719e-01 6.154303054e+01 5.298225634e+01 
5.272874569e-01 4.727125418e-01 5.490070735e+01 6.035819909e+01 
5.946568957e-01 4.053431023e-01 4.984312594e+01 6.877450547e+01 
6.558343306e-01 3.441656666e-01 4.623879372e+01 7.740566030e+01 
7.086267378e-01 2.913732586e-01 4.369732762e+01 8.542267569e+01 
7.522248793e-01 2.477751168e-01 4.179542798e+01 9.224040437e+01 
7.868728617e-01 2.131271340e-01 4.023201771e+01 9.760659061e+01 
8.133916000e-01 1.866083948e-01 3.886936157e+01 1.015476822e+02 
8.327737390e-01 1.672262547e-01 3.769795261e+01 1.042527012e+02 
8.459251996e-01 1.540747936e-01 3.677756331e+01 1.059626040e+02 
8.535349258e-01 1.464650677e-01 3.618539909e+01 1.068923850e+02 
8.560244865e-01 1.439755072e-01 3.598073878e+01 1.071856368e+02 
8.535349398e-01 1.464650538e-01 3.618539796e+01 1.068923867e+02 
8.459252284e-01 1.540747650e-01 3.677756116e+01 1.059626076e+02 
8.327737841e-01 1.672262099e-01 3.769794966e+01 1.042527072e+02 
8.133916636e-01 1.866083315e-01 3.886935802e+01 1.015476913e+02 
7.868729466e-01 2.131270495e-01 4.023201365e+01 9.760660348e+01 
7.522249881e-01 2.477750084e-01 4.179542325e+01 9.224042134e+01 
7.086268723e-01 2.913731247e-01 4.369732160e+01 8.542269649e+01 
6.558344901e-01 3.441655077e-01 4.623878537e+01 7.740568376e+01 
5.946570761e-01 4.053429226e-01 4.984311402e+01 6.877452956e+01 
5.272876501e-01 4.727123493e-01 5.490069105e+01 6.035822135e+01 
4.571963226e-01 5.428036775e-01 6.154301003e+01 5.298227478e+01 
3.884595112e-01 6.115404896e-01 6.948813846e+01 4.718004086e+01 
3.247757297e-01 6.752242717e-01 7.809132699e+01 4.304647302e+01 
2.686698173e-01 7.313301846e-01 8.658142193e+01 4.031538540e+01 
2.212316639e-01 7.787683379e-01 9.432105567e+01 3.856738842e+01 
1.823507663e-01 8.176492349e-01 1.009452562e+02 3.741540946e+01 
1.511721056e-01 8.488278949e-01 1.063557209e+02 3.659014201e+01 
1.265237186e-01 8.734762813e-01 1.106357304e+02 3.594047414e+01 
1.072055736e-01 8.927944259e-01 1.139560972e+02 3.539721197e+01 
9.213915495e-02 9.078608440e-01 1.165075153e+02 3.493534635e+01 
8.042075809e-02 9.195792404e-01 1.184639735e+02 3.454812522e+01 
7.132232652e-02 9.286776717e-01 1.199686653e+02 3.423313069e+01 
6.426989934e-02 9.357300987e-01 1.211324925e+02 3.398647239e+01 
5.881620547e-02 9.411837924e-01 1.220381573e+02 3.380139842e+01 
5.461490534e-02 9.453850924e-01 1.227458952e+02 3.366887634e+01 
5.139905470e-02 9.486009430e-01 1.232989757e+02 3.357878671e+01 
4.896409187e-02 9.510359059e-01 1.237282575e+02 3.352107591e+01 
4.715480150e-02 9.528451963e-01 1.240556560e+02 3.348661637e+01 
4.585552092e-02 9.541444769e-01 1.242966278e+02 3.346773203e+01 
4.498292895e-02 9.550170690e-01 1.244618591e+02 3.345844491e+01 
4.448090405e-02 9.555190940e-01 1.245583542e+02 3.345453505e+01 
4.431708619e-02 9.556829121e-01 1.245900893e+02 3.345350654e+01 
4.448090316e-02 9.555190953e-01 1.245583544e+02 3.345453505e+01 
4.498292711e-02 9.550170716e-01 1.244618594e+02 3.345844489e+01 
4.585551800e-02 9.541444810e-01 1.242966283e+02 3.346773199e+01 
4.715479732e-02 9.528452020e-01 1.240556568e+02 3.348661630e+01 
4.896408616e-02 9.510359135e-01 1.237282585e+02 3.352107578e+01 
5.139904708e-02 9.486009529e-01 1.232989770e+02 3.357878650e+01 
5.461489533e-02 9.453851051e-01 1.227458969e+02 3.366887602e+01 
5.881619242e-02 9.411838085e-01 1.220381595e+02 3.380139797e+01 
6.426988241e-02 9.357301190e-01 1.211324953e+02 3.398647179e+01 
7.132230463e-02 9.286776973e-01 1.199686690e+02 3.423312990e+01 
8.042072984e-02 9.195792727e-01 1.184639783e+02 3.454812424e+01 
9.213911857e-02 9.078608848e-01 1.165075215e+02 3.493534516e+01 
1.072055268e-01 8.927944775e-01 1.139561053e+02 3.539721058e+01 
1.265236587e-01 8.734763464e-01 1.106357409e+02 3.594047249e+01 
1.511720294e-01 8.488279765e-01 1.063557343e+02 3.659014000e+01 
1.823506704e-01 8.176493365e-01 1.009452729e+02 3.741540680e+01 
2.212315454e-01 7.787684625e-01 9.432107574e+01 3.856738454e+01 
2.686696748e-01 7.313303336e-01 8.658144474e+01 4.031537936e+01 
3.247755643e-01 6.752244438e-01 7.809135111e+01 4.304646363e+01 
3.884593280e-01 6.115406797e-01 6.948816184e+01 4.718002708e+01 
4.571961306e-01 5.428038766e-01 6.154303056e+01 5.298225627e+01 
5.272874605e-01 4.727125460e-01 5.490070736e+01 6.035819901e+01 
5.946568999e-01 4.053431061e-01 4.984312594e+01 6.877450539e+01 
6.558343353e-01 3.441656698e-01 4.623879372e+01 7.740566021e+01 
7.086267429e-01 2.913732614e-01 4.369732761e+01 8.542267560e+01 
7.522248848e-01 2.477751191e-01 4.179542797e+01 9.224040429e+01 
7.868728675e-01 2.131271360e-01 4.023201770e+01 9.760659054e+01 
8.133916059e-01 1.866083966e-01 3.886936157e+01 1.015476822e+02 
8.327737451e-01 1.672262563e-01 3.769795261e+01 1.042527011e+02 
8.459252058e-01 1.540747950e-01 3.677756330e+01 1.059626040e+02 
8.535349320e-01 1.464650690e-01 3.618539909e+01 1.068923850e+02 
8.535349409e-01 1.464650601e-01 3.618539838e+01 1.068923860e+02 
8.510217455e-01 1.489782554e-01 3.638634376e+01 1.065906924e+02 
8.433411617e-01 1.566588392e-01 3.696797134e+01 1.056362032e+02 
8.300724290e-01 1.699275725e-01 3.787289791e+01 1.038873832e+02 
8.105299660e-01 1.894700365e-01 3.902731154e+01 1.011333041e+02 
