1 192 192
4.721523112e-02 9.527847707e-01 9.894016073e+01 8.383206828e+00 
4.683686760e-02 9.531631341e-01 9.901269859e+01 8.380072008e+00 
4.650519519e-02 9.534948064e-01 9.907681238e+01 8.377851344e+00 
4.621786403e-02 9.537821373e-01 9.913277557e+01 8.376348334e+00 
4.597283756e-02 9.540271635e-01 9.918082299e+01 8.375390500e+00 
4.576837840e-02 9.542316225e-01 9.922115346e+01 8.374829172e+00 
4.560303635e-02 9.543969643e-01 9.925393188e+01 8.374539211e+00 
4.547563830e-02 9.545243622e-01 9.927929099e+01 8.374418730e+00 
4.538528016e-02 9.546147202e-01 9.929733268e+01 8.374388814e+00 
4.533132059e-02 9.546686797e-01 9.930812905e+01 8.374393283e+00 
4.531337653e-02 9.546866238e-01 9.931172308e+01 8.374398505e+00 
4.533132059e-02 9.546686797e-01 9.930812905e+01 8.374393283e+00 
4.538528018e-02 9.546147203e-01 9.929733268e+01 8.374388814e+00 
4.547563832e-02 9.545243622e-01 9.927929098e+01 8.374418730e+00 
4.560303638e-02 9.543969644e-01 9.925393188e+01 8.374539211e+00 
4.576837844e-02 9.542316225e-01 9.922115345e+01 8.374829171e+00 
4.597283760e-02 9.540271636e-01 9.918082298e+01 8.375390500e+00 
4.621786408e-02 9.537821374e-01 9.913277556e+01 8.376348334e+00 
4.650519524e-02 9.534948065e-01 9.907681237e+01 8.377851344e+00 
4.683686766e-02 9.531631342e-01 9.901269857e+01 8.380072007e+00 
4.721523119e-02 9.527847709e-01 9.894016071e+01 8.383206828e+00 
4.764296529e-02 9.523570368e-01 9.885888355e+01 8.387476468e+00 
4.812309761e-02 9.518769045e-01 9.876850637e+01 8.393125754e+00 
4.865902501e-02 9.513409770e-01 9.866861864e+01 8.400423506e+00 
4.925453724e-02 9.507454646e-01 9.855875482e+01 8.409662152e+00 
4.991384334e-02 9.500861583e-01 9.843838850e+01 8.421157071e+00 
5.064160105e-02 9.493584003e-01 9.830692547e+01 8.435245615e+00 
5.144294944e-02 9.485570516e-01 9.816369591e+01 8.452285768e+00 
5.232354500e-02 9.476764557e-01 9.800794539e+01 8.472654394e+00 
5.328960149e-02 9.467103990e-01 9.783882469e+01 8.496745020e+00 
5.434793382e-02 9.456520664e-01 9.765537832e+01 8.524965140e+00 
5.550600630e-02 9.444939938e-01 9.745653165e+01 8.557732988e+00 
5.677198568e-02 9.432280144e-01 9.724107657e+01 8.595473789e+00 
5.815479914e-02 9.418452009e-01 9.700765556e+01 8.638615479e+00 
5.966419786e-02 9.403358023e-01 9.675474427e+01 8.687583928e+00 
6.131082635e-02 9.386891739e-01 9.648063237e+01 8.742797710e+00 
6.310629783e-02 9.368937025e-01 9.618340290e+01 8.804662530e+00 
6.506327616e-02 9.349367243e-01 9.586091014e+01 8.873565423e+00 
6.719556423e-02 9.328044363e-01 9.551075604e+01 8.949868935e+00 
6.951819904e-02 9.304818016e-01 9.513026568e+01 9.033905532e+00 
7.204755326e-02 9.279524475e-01 9.471646189e+01 9.125972582e+00 
7.480144277e-02 9.251985580e-01 9.426603977e+01 9.226328357e+00 
7.779923950e-02 9.222007614e-01 9.377534168e+01 9.335189610e+00 
8.106198814e-02 9.189380128e-01 9.324033378e+01 9.452731426e+00 
8.461252469e-02 9.153874764e-01 9.265658528e+01 9.579090232e+00 
8.847559426e-02 9.115244069e-01 9.201925215e+01 9.714371010e+00 
9.267796388e-02 9.073220374e-01 9.132306722e+01 9.858659999e+00 
9.724852546e-02 9.027514759e-01 9.056233930e+01 1.001204439e+01 
1.022183819e-01 8.977816195e-01 8.973096439e+01 1.017464076e+01 
1.076209075e-01 8.923790939e-01 8.882245273e+01 1.034663423e+01 
1.134917726e-01 8.865082286e-01 8.782997591e+01 1.052833046e+01 
1.198689179e-01 8.801310831e-01 8.674643909e+01 1.072022273e+01 
1.267924635e-01 8.732075373e-01 8.556458355e+01 1.092307633e+01 
1.343045331e-01 8.656954675e-01 8.427712521e+01 1.113803194e+01 
1.424489732e-01 8.575510273e-01 8.287693454e+01 1.136672930e+01 
1.512709416e-01 8.487290590e-01 8.135726266e+01 1.161145109e+01 
1.608163427e-01 8.391836583e-01 7.971201671e+01 1.187528532e+01 
1.711310819e-01 8.288689196e-01 7.793608548e+01 1.216230188e+01 
1.822601182e-01 8.177398840e-01 7.602571228e+01 1.247773588e+01 
1.942462948e-01 8.057537082e-01 7.397890739e+01 1.282816623e+01 
2.071289385e-01 7.928710654e-01 7.179588599e+01 1.322167347e+01 
2.209422291e-01 7.790577755e-01 6.947951046e+01 1.366795600e+01 
2.357133606e-01 7.642866445e-01 6.703570799e+01 1.417837978e+01 
2.514605330e-01 7.485394722e-01 6.447382720e+01 1.476593346e+01 
2.681908457e-01 7.318091594e-01 6.180689147e+01 1.544506028e+01 
2.858981876e-01 7.141018170e-01 5.905170398e+01 1.623134124e+01 
3.045612516e-01 6.954387523e-01 5.622876124e+01 1.714101139e+01 
3.241418228e-01 6.758581803e-01 5.336193955e+01 1.819030402e+01 
3.445835077e-01 6.554164945e-01 5.047793334e+01 1.939463487e+01 
3.658110726e-01 6.341889288e-01 4.760544575e+01 2.076766035e+01 
3.877305420e-01 6.122694588e-01 4.477415757e+01 2.232026611e+01 
4.102301685e-01 5.897698318e-01 4.201352941e+01 2.405956330e+01 
4.331823277e-01 5.668176724e-01 3.935151805e+01 2.598798380e+01 
4.564463117e-01 5.435536882e-01 3.681330772e+01 2.810257028e+01 
4.798719137e-01 5.201280861e-01 3.442016521e+01 3.039454817e+01 
5.033036093e-01 4.966963905e-01 3.218852257e+01 3.284924465e+01 
5.265850796e-01 4.734149204e-01 3.012937075e+01 3.544638686e+01 
5.495637764e-01 4.504362238e-01 2.824801581e+01 3.816077126e+01 
5.720952304e-01 4.279047703e-01 2.654420968e+01 4.096325585e+01 
5.940468261e-01 4.059531753e-01 2.501262750e+01 4.382199274e+01 
6.153008336e-01 3.846991687e-01 2.364362878e+01 4.670379543e+01 
6.357565585e-01 3.642434446e-01 2.242421545e+01 4.957552701e+01 
6.553315632e-01 3.446684404e-01 2.133908927e+01 5.240540171e+01 
6.739619880e-01 3.260380155e-01 2.037171351e+01 5.516411091e+01 
6.916020714e-01 3.083979314e-01 1.950529715e+01 5.782571130e+01 
7.082230094e-01 2.917769922e-01 1.872364088e+01 6.036824273e+01 
7.238113210e-01 2.761886791e-01 1.801180755e+01 6.277407185e+01 
7.383668893e-01 2.616331096e-01 1.735660279e+01 6.502998087e+01 
7.519008410e-01 2.480991648e-01 1.674686338e+01 6.712703111e+01 
7.644333618e-01 2.355666396e-01 1.617362191e+01 6.906029421e+01 
7.759916577e-01 2.240083411e-01 1.563003765e+01 7.082836938e+01 
7.866079882e-01 2.133920096e-01 1.511132820e+01 7.243292611e+01 
7.963179441e-01 2.036820536e-01 1.461456574e+01 7.387815481e+01 
8.051589427e-01 1.948410553e-01 1.413843930e+01 7.517022805e+01 
8.131689560e-01 1.868310421e-01 1.368299323e+01 7.631678461e+01 
8.203854641e-01 1.796145336e-01 1.324936048e+01 7.732645349e+01 
8.268446169e-01 1.731553801e-01 1.283950398e+01 7.820842760e+01 
8.325805802e-01 1.674194158e-01 1.245597498e+01 7.897209134e+01 
8.376250418e-01 1.623749535e-01 1.210169360e+01 7.962670233e+01 
